time,action,score,reason,close
2021-06-23 00:00:00+00:00,hold,50,no crossover,33678.07
2021-06-24 00:00:00+00:00,hold,50,no crossover,34663.09
2021-06-25 00:00:00+00:00,hold,50,no crossover,31584.45
2021-06-26 00:00:00+00:00,hold,50,no crossover,32283.65
2021-06-27 00:00:00+00:00,hold,50,no crossover,34700.34
2021-06-28 00:00:00+00:00,hold,50,no crossover,34494.89
2021-06-29 00:00:00+00:00,hold,50,no crossover,35911.73
2021-06-30 00:00:00+00:00,hold,50,no crossover,35045.0
2021-07-01 00:00:00+00:00,hold,50,no crossover,33504.69
2021-07-02 00:00:00+00:00,hold,50,no crossover,33786.55
2021-07-03 00:00:00+00:00,hold,50,no crossover,34669.13
2021-07-04 00:00:00+00:00,hold,50,no crossover,35286.51
2021-07-05 00:00:00+00:00,hold,50,no crossover,33690.14
2021-07-06 00:00:00+00:00,hold,50,no crossover,34220.01
2021-07-07 00:00:00+00:00,hold,50,no crossover,33862.12
2021-07-08 00:00:00+00:00,hold,50,no crossover,32875.71
2021-07-09 00:00:00+00:00,hold,50,no crossover,33815.81
2021-07-10 00:00:00+00:00,hold,50,no crossover,33502.87
2021-07-11 00:00:00+00:00,hold,50,no crossover,34258.99
2021-07-12 00:00:00+00:00,hold,50,no crossover,33086.63
2021-07-13 00:00:00+00:00,hold,50,no crossover,32729.77
2021-07-14 00:00:00+00:00,hold,50,no crossover,32820.02
2021-07-15 00:00:00+00:00,hold,50,no crossover,31880.0
2021-07-16 00:00:00+00:00,hold,50,no crossover,31383.87
2021-07-17 00:00:00+00:00,hold,50,no crossover,31520.07
2021-07-18 00:00:00+00:00,hold,50,no crossover,31778.56
2021-07-19 00:00:00+00:00,hold,50,no crossover,30839.65
2021-07-20 00:00:00+00:00,hold,50,no crossover,29790.35
2021-07-21 00:00:00+00:00,hold,50,no crossover,32144.51
2021-07-22 00:00:00+00:00,hold,50,no crossover,32287.83
2021-07-23 00:00:00+00:00,hold,50,no crossover,33634.09
2021-07-24 00:00:00+00:00,hold,50,no crossover,34258.14
2021-07-25 00:00:00+00:00,buy,75,EMA9 crossed above EMA26,35381.02
2021-07-26 00:00:00+00:00,hold,50,no crossover,37237.6
2021-07-27 00:00:00+00:00,hold,50,no crossover,39457.87
2021-07-28 00:00:00+00:00,hold,50,no crossover,40019.56
2021-07-29 00:00:00+00:00,hold,50,no crossover,40016.48
2021-07-30 00:00:00+00:00,hold,50,no crossover,42206.37
2021-07-31 00:00:00+00:00,hold,50,no crossover,41461.83
2021-08-01 00:00:00+00:00,hold,50,no crossover,39845.44
2021-08-02 00:00:00+00:00,hold,50,no crossover,39147.82
2021-08-03 00:00:00+00:00,hold,50,no crossover,38207.05
2021-08-04 00:00:00+00:00,hold,50,no crossover,39723.18
2021-08-05 00:00:00+00:00,hold,50,no crossover,40862.46
2021-08-06 00:00:00+00:00,hold,50,no crossover,42836.87
2021-08-07 00:00:00+00:00,hold,50,no crossover,44572.54
2021-08-08 00:00:00+00:00,hold,50,no crossover,43794.37
2021-08-09 00:00:00+00:00,hold,50,no crossover,46253.4
2021-08-10 00:00:00+00:00,hold,50,no crossover,45584.99
2021-08-11 00:00:00+00:00,hold,50,no crossover,45511.0
2021-08-12 00:00:00+00:00,hold,50,no crossover,44399.0
2021-08-13 00:00:00+00:00,hold,50,no crossover,47800.0
2021-08-14 00:00:00+00:00,hold,50,no crossover,47068.51
2021-08-15 00:00:00+00:00,hold,50,no crossover,46973.82
2021-08-16 00:00:00+00:00,hold,50,no crossover,45901.29
2021-08-17 00:00:00+00:00,hold,50,no crossover,44695.95
2021-08-18 00:00:00+00:00,hold,50,no crossover,44705.29
2021-08-19 00:00:00+00:00,hold,50,no crossover,46760.62
2021-08-20 00:00:00+00:00,hold,50,no crossover,49322.47
2021-08-21 00:00:00+00:00,hold,50,no crossover,48821.87
2021-08-22 00:00:00+00:00,hold,50,no crossover,49239.22
2021-08-23 00:00:00+00:00,hold,50,no crossover,49488.85
2021-08-24 00:00:00+00:00,hold,50,no crossover,47674.01
2021-08-25 00:00:00+00:00,hold,50,no crossover,48973.32
2021-08-26 00:00:00+00:00,hold,50,no crossover,46843.87
2021-08-27 00:00:00+00:00,hold,50,no crossover,49069.9
2021-08-28 00:00:00+00:00,hold,50,no crossover,48895.35
2021-08-29 00:00:00+00:00,hold,50,no crossover,48767.83
2021-08-30 00:00:00+00:00,hold,50,no crossover,46982.91
2021-08-31 00:00:00+00:00,hold,50,no crossover,47100.89
2021-09-01 00:00:00+00:00,hold,50,no crossover,48810.52
2021-09-02 00:00:00+00:00,hold,50,no crossover,49246.64
2021-09-03 00:00:00+00:00,hold,50,no crossover,49999.14
2021-09-04 00:00:00+00:00,hold,50,no crossover,49915.64
2021-09-05 00:00:00+00:00,hold,50,no crossover,51756.88
2021-09-06 00:00:00+00:00,hold,50,no crossover,52663.9
2021-09-07 00:00:00+00:00,hold,50,no crossover,46863.73
2021-09-08 00:00:00+00:00,hold,50,no crossover,46048.31
2021-09-09 00:00:00+00:00,hold,50,no crossover,46395.14
2021-09-10 00:00:00+00:00,hold,50,no crossover,44850.91
2021-09-11 00:00:00+00:00,hold,50,no crossover,45173.69
2021-09-12 00:00:00+00:00,hold,50,no crossover,46025.24
2021-09-13 00:00:00+00:00,hold,50,no crossover,44940.73
2021-09-14 00:00:00+00:00,hold,50,no crossover,47111.52
2021-09-15 00:00:00+00:00,hold,50,no crossover,48121.41
2021-09-16 00:00:00+00:00,buy,75,EMA9 crossed above EMA26,47737.82
2021-09-17 00:00:00+00:00,hold,50,no crossover,47299.98
2021-09-18 00:00:00+00:00,hold,50,no crossover,48292.74
2021-09-19 00:00:00+00:00,hold,50,no crossover,47241.75
2021-09-20 00:00:00+00:00,hold,50,no crossover,43015.62
2021-09-21 00:00:00+00:00,hold,50,no crossover,40734.38
2021-09-22 00:00:00+00:00,hold,50,no crossover,43543.61
2021-09-23 00:00:00+00:00,hold,50,no crossover,44865.26
2021-09-24 00:00:00+00:00,hold,50,no crossover,42810.57
2021-09-25 00:00:00+00:00,hold,50,no crossover,42670.64
2021-09-26 00:00:00+00:00,hold,50,no crossover,43160.9
2021-09-27 00:00:00+00:00,hold,50,no crossover,42147.35
2021-09-28 00:00:00+00:00,hold,50,no crossover,41026.54
2021-09-29 00:00:00+00:00,hold,50,no crossover,41524.28
2021-09-30 00:00:00+00:00,hold,50,no crossover,43824.1
2021-10-01 00:00:00+00:00,hold,50,no crossover,48141.61
2021-10-02 00:00:00+00:00,hold,50,no crossover,47634.9
2021-10-03 00:00:00+00:00,buy,75,EMA9 crossed above EMA26,48200.01
2021-10-04 00:00:00+00:00,hold,50,no crossover,49224.94
2021-10-05 00:00:00+00:00,hold,50,no crossover,51471.99
2021-10-06 00:00:00+00:00,hold,50,no crossover,55315.0
2021-10-07 00:00:00+00:00,hold,50,no crossover,53785.22
2021-10-08 00:00:00+00:00,hold,50,no crossover,53951.43
2021-10-09 00:00:00+00:00,hold,50,no crossover,54949.72
2021-10-10 00:00:00+00:00,hold,50,no crossover,54659.0
2021-10-11 00:00:00+00:00,hold,50,no crossover,57471.35
2021-10-12 00:00:00+00:00,hold,50,no crossover,55996.93
2021-10-13 00:00:00+00:00,hold,50,no crossover,57367.0
2021-10-14 00:00:00+00:00,hold,50,no crossover,57347.94
2021-10-15 00:00:00+00:00,hold,50,no crossover,61672.42
2021-10-16 00:00:00+00:00,hold,50,no crossover,60875.57
2021-10-17 00:00:00+00:00,hold,50,no crossover,61528.33
2021-10-18 00:00:00+00:00,hold,50,no crossover,62009.84
2021-10-19 00:00:00+00:00,hold,50,no crossover,64280.59
2021-10-20 00:00:00+00:00,hold,50,no crossover,66001.41
2021-10-21 00:00:00+00:00,hold,50,no crossover,62193.15
2021-10-22 00:00:00+00:00,hold,50,no crossover,60688.22
2021-10-23 00:00:00+00:00,hold,50,no crossover,61286.75
2021-10-24 00:00:00+00:00,hold,50,no crossover,60852.22
2021-10-25 00:00:00+00:00,hold,50,no crossover,63078.78
2021-10-26 00:00:00+00:00,hold,50,no crossover,60328.81
2021-10-27 00:00:00+00:00,hold,50,no crossover,58413.44
2021-10-28 00:00:00+00:00,hold,50,no crossover,60575.89
2021-10-29 00:00:00+00:00,hold,50,no crossover,62253.71
2021-10-30 00:00:00+00:00,hold,50,no crossover,61859.19
2021-10-31 00:00:00+00:00,hold,50,no crossover,61299.8
2021-11-01 00:00:00+00:00,hold,50,no crossover,60911.11
2021-11-02 00:00:00+00:00,hold,50,no crossover,63219.99
2021-11-03 00:00:00+00:00,hold,50,no crossover,62896.48
2021-11-04 00:00:00+00:00,hold,50,no crossover,61395.01
2021-11-05 00:00:00+00:00,hold,50,no crossover,60937.12
2021-11-06 00:00:00+00:00,hold,50,no crossover,61470.61
2021-11-07 00:00:00+00:00,hold,50,no crossover,63273.59
2021-11-08 00:00:00+00:00,hold,50,no crossover,67525.83
2021-11-09 00:00:00+00:00,hold,50,no crossover,66947.66
2021-11-10 00:00:00+00:00,hold,50,no crossover,64882.43
2021-11-11 00:00:00+00:00,hold,50,no crossover,64774.26
2021-11-12 00:00:00+00:00,hold,50,no crossover,64122.23
2021-11-13 00:00:00+00:00,hold,50,no crossover,64380.0
2021-11-14 00:00:00+00:00,hold,50,no crossover,65519.1
2021-11-15 00:00:00+00:00,hold,50,no crossover,63606.74
2021-11-16 00:00:00+00:00,hold,50,no crossover,60058.87
2021-11-17 00:00:00+00:00,hold,50,no crossover,60344.87
2021-11-18 00:00:00+00:00,hold,50,no crossover,56891.62
2021-11-19 00:00:00+00:00,hold,50,no crossover,58052.24
2021-11-20 00:00:00+00:00,hold,50,no crossover,59707.51
